addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'19509'~'10 S. Riverside Plaza      14469'~'Chicago IL 60606 USA      14469'~~''~'Madanapalle (Bangalore)'~'3112'~'517325'~'86'~~~
'19510'~'10 S. Riverside Plaza      14470'~'Chicago IL 60606 USA      14470'~~''~'FOUNTAIN INN'~'41'~'29644'~'76'~~~
'19511'~'10 S. Riverside Plaza      14471'~'Chicago IL 60606 USA      14471'~~''~'SANTA ANA'~'5'~'92704'~'76'~~~
'19512'~'10 S. Riverside Plaza      14472'~'Chicago IL 60606 USA      14472'~~''~'Ono city,Hyogo'~~~'97'~~~
'19513'~'10 S. Riverside Plaza      14473'~'Chicago IL 60606 USA      14473'~~''~'Mt Cotton'~~~'118'~~~
'19514'~'10 S. Riverside Plaza      14474'~'Chicago IL 60606 USA      14474'~~''~'Palmyra'~~~'118'~~~
'19515'~'10 S. Riverside Plaza      14475'~'Chicago IL 60606 USA      14475'~~''~'Thalmassing'~~'85051'~'37'~~~
'19516'~'10 S. Riverside Plaza      14476'~'Chicago IL 60606 USA      14476'~~''~'Haedo'~~~'67'~~~
'19517'~'10 S. Riverside Plaza      14477'~'Chicago IL 60606 USA      14477'~~''~'Mascot'~~~'118'~~~
'19518'~'10 S. Riverside Plaza      14478'~'Chicago IL 60606 USA      14478'~~''~'Footscray'~'836'~'3012'~'118'~~~
'19519'~'10 S. Riverside Plaza      14479'~'Chicago IL 60606 USA      14479'~~''~'SÃO PAULO'~'1082'~'05322-900'~'44'~~~
'19520'~'10 S. Riverside Plaza      14480'~'Chicago IL 60606 USA      14480'~~''~'Capitán Sarmiento'~'800'~'2752'~'67'~~~
'19521'~'10 S. Riverside Plaza      14481'~'Chicago IL 60606 USA      14481'~~''~'Elk Grove Village'~'15'~'60007'~'76'~~~
'19522'~'10 S. Riverside Plaza      14482'~'Chicago IL 60606 USA      14482'~~''~'Davigel'~~~'22'~~~
'19523'~'10 S. Riverside Plaza      14483'~'Chicago IL 60606 USA      14483'~~''~'Irvine'~'5'~'92606'~'76'~~~
'19524'~'10 S. Riverside Plaza      14484'~'Chicago IL 60606 USA      14484'~~''~'Marion'~'36'~'43302'~'76'~~~
'19525'~'10 S. Riverside Plaza      14485'~'Chicago IL 60606 USA      14485'~~''~'Stone Mountain'~'11'~'30083'~'76'~~~
'19526'~'10 S. Riverside Plaza      14486'~'Chicago IL 60606 USA      14486'~~''~'Smithboro'~'377'~~'16'~~~
'19527'~'10 S. Riverside Plaza      14487'~'Chicago IL 60606 USA      14487'~~''~'Shanghai'~'1156'~~'84'~~~
'19528'~'10 S. Riverside Plaza      14488'~'Chicago IL 60606 USA      14488'~~''~'MARINILLA'~~~'62'~~~
'19529'~'10 S. Riverside Plaza      14489'~'Chicago IL 60606 USA      14489'~~''~'Somercotes'~'1572'~'DE55 4NN'~'19'~~~
'19530'~'10 S. Riverside Plaza      14490'~'Chicago IL 60606 USA      14490'~~''~'ATITALAQUIA'~~'42970'~'65'~~~
'19531'~'10 S. Riverside Plaza      14491'~'Chicago IL 60606 USA      14491'~~''~'SANTA CATARINA'~~'66350'~'65'~~~
'19532'~'10 S. Riverside Plaza      14492'~'Chicago IL 60606 USA      14492'~~''~'Zamora'~~~'65'~~~
'19533'~'10 S. Riverside Plaza      14493'~'Chicago IL 60606 USA      14493'~~''~'Wetherill Park'~~~'118'~~~
'19534'~'10 S. Riverside Plaza      14494'~'Chicago IL 60606 USA      14494'~~''~'Yonghe'~'1161'~'511356'~'84'~~~
'19535'~'10 S. Riverside Plaza      14495'~'Chicago IL 60606 USA      14495'~~''~'Guangzhou'~'1161'~'511356'~'84'~~~
'19536'~'10 S. Riverside Plaza      14496'~'Chicago IL 60606 USA      14496'~~''~'Zeng Cheng'~'1161'~'511365'~'84'~~~
'19537'~'10 S. Riverside Plaza      14497'~'Chicago IL 60606 USA      14497'~~''~'Guangzhou'~'1161'~~'84'~~~
'19538'~'10 S. Riverside Plaza      14498'~'Chicago IL 60606 USA      14498'~~''~'Heywood, Lancs.'~~'OL10 2TN'~'19'~~~
'19539'~'10 S. Riverside Plaza      14499'~'Chicago IL 60606 USA      14499'~~''~'West Mina Abdulla'~~'64006'~'105'~~~
'19540'~'10 S. Riverside Plaza      14500'~'Chicago IL 60606 USA      14500'~~''~'Nantong City'~~'226300'~'84'~~~
'19541'~'10 S. Riverside Plaza      14501'~'Chicago IL 60606 USA      14501'~~''~'Cheras'~'1810'~~'91'~~~
'19542'~'10 S. Riverside Plaza      14502'~'Chicago IL 60606 USA      14502'~~''~'Rugby'~'1733'~'CV21 1QN'~'19'~~~
'19543'~'10 S. Riverside Plaza      14503'~'Chicago IL 60606 USA      14503'~~''~'Mesquite'~'44'~'75223'~'76'~~~
'19544'~'10 S. Riverside Plaza      14504'~'Chicago IL 60606 USA      14504'~~''~'Otradnoe, Leningradsky region, Kirovsky district'~'2123'~'187330'~'11'~~~
'19545'~'10 S. Riverside Plaza      14505'~'Chicago IL 60606 USA      14505'~~''~'Toyama-shi'~~~'97'~~~
'19546'~'10 S. Riverside Plaza      14506'~'Chicago IL 60606 USA      14506'~~''~'Asan-si'~~~'89'~~~
'19547'~'10 S. Riverside Plaza      14507'~'Chicago IL 60606 USA      14507'~~''~'MORRAL'~'36'~'43337'~'76'~~~
'19548'~'10 S. Riverside Plaza      14508'~'Chicago IL 60606 USA      14508'~~''~'Yun Fu'~'1161'~'527100'~'84'~~~
'19549'~'10 S. Riverside Plaza      14509'~'Chicago IL 60606 USA      14509'~~''~'Stoke Lacy'~'1612'~'HR7 4HQ'~'19'~~~
'19550'~'10 S. Riverside Plaza      14510'~'Chicago IL 60606 USA      14510'~~''~'Anqiu City'~'1175'~'262127'~'84'~~~
'19551'~'10 S. Riverside Plaza      14511'~'Chicago IL 60606 USA      14511'~~''~'Shenzhen'~'1161'~~'84'~~~
'19552'~'10 S. Riverside Plaza      14512'~'Chicago IL 60606 USA      14512'~~''~'Shenzhen'~'1161'~~'84'~~~
'19553'~'10 S. Riverside Plaza      14513'~'Chicago IL 60606 USA      14513'~~''~'Abtswind'~'1250'~'97355'~'37'~~~
'19554'~'10 S. Riverside Plaza      14514'~'Chicago IL 60606 USA      14514'~~''~'Celldömölk'~~'H-9500'~'38'~~~
'19555'~'10 S. Riverside Plaza      14515'~'Chicago IL 60606 USA      14515'~~''~'Wingham'~~~'118'~~~
'19556'~'10 S. Riverside Plaza      14516'~'Chicago IL 60606 USA      14516'~~''~'Richmond Hill'~'1108'~'L4C 3C6'~'72'~~~
'19557'~'10 S. Riverside Plaza      14517'~'Chicago IL 60606 USA      14517'~~''~'Yonezawa-shi'~~~'97'~~~
'19558'~'10 S. Riverside Plaza      14518'~'Chicago IL 60606 USA      14518'~~''~'Yantai'~~'264006'~'84'~~~
'19559'~'10 S. Riverside Plaza      14519'~'Chicago IL 60606 USA      14519'~~''~'Yingde City'~'1161'~~'84'~~~
'19560'~'10 S. Riverside Plaza      14520'~'Chicago IL 60606 USA      14520'~~''~'Chuzhou'~~~'84'~~~
'19561'~'10 S. Riverside Plaza      14521'~'Chicago IL 60606 USA      14521'~~''~'He Yuan'~'1161'~~'84'~~~
'19562'~'10 S. Riverside Plaza      14522'~'Chicago IL 60606 USA      14522'~~''~'Zhejiang'~'1180'~~'84'~~~
'19563'~'10 S. Riverside Plaza      14523'~'Chicago IL 60606 USA      14523'~~''~'Hangzhou'~~~'84'~~~
'19564'~'10 S. Riverside Plaza      14524'~'Chicago IL 60606 USA      14524'~~''~'Weifamg City'~'1175'~'262700'~'84'~~~
'19565'~'10 S. Riverside Plaza      14525'~'Chicago IL 60606 USA      14525'~~''~'Zhongshan'~'1161'~~'84'~~~
'19566'~'10 S. Riverside Plaza      14526'~'Chicago IL 60606 USA      14526'~~''~'Binzhou City'~'1175'~'256216'~'84'~~~
'19567'~'10 S. Riverside Plaza      14527'~'Chicago IL 60606 USA      14527'~~''~'Karatsu-shi'~~~'97'~~~
'19568'~'10 S. Riverside Plaza      14528'~'Chicago IL 60606 USA      14528'~~''~'Chiba-shi'~~~'97'~~~
'19569'~'10 S. Riverside Plaza      14529'~'Chicago IL 60606 USA      14529'~~''~'Kobe City'~'578'~'653-0032'~'97'~~~
'19570'~'10 S. Riverside Plaza      14530'~'Chicago IL 60606 USA      14530'~~''~'Foshan'~'1161'~'528244'~'84'~~~
'19571'~'10 S. Riverside Plaza      14531'~'Chicago IL 60606 USA      14531'~~''~'Preston'~~'3027'~'118'~~~
'19572'~'10 S. Riverside Plaza      14532'~'Chicago IL 60606 USA      14532'~~''~'Bendigo East'~~~'118'~~~
'19573'~'10 S. Riverside Plaza      14533'~'Chicago IL 60606 USA      14533'~~''~'Cooma'~~~'118'~~~
'19574'~'10 S. Riverside Plaza      14534'~'Chicago IL 60606 USA      14534'~~''~'Rawang'~'1810'~'4800'~'91'~~~
'19575'~'10 S. Riverside Plaza      14535'~'Chicago IL 60606 USA      14535'~~''~'Guerrico, Rio Negro'~~~'67'~~~
'19576'~'10 S. Riverside Plaza      14536'~'Chicago IL 60606 USA      14536'~~''~'Pune'~'3130'~'410 503'~'86'~~~
'19577'~'10 S. Riverside Plaza      14537'~'Chicago IL 60606 USA      14537'~~''~'Fukushima-shi'~~~'97'~~~
'19578'~'10 S. Riverside Plaza      14538'~'Chicago IL 60606 USA      14538'~~''~'Nishinomiya-shi'~~~'97'~~~
'19579'~'10 S. Riverside Plaza      14539'~'Chicago IL 60606 USA      14539'~~''~'Ayase-shi'~~~'97'~~~
'19580'~'10 S. Riverside Plaza      14540'~'Chicago IL 60606 USA      14540'~~''~'Eniwa-shi'~~~'97'~~~
'19581'~'10 S. Riverside Plaza      14541'~'Chicago IL 60606 USA      14541'~~''~'Joso-shi'~~~'97'~~~
'19582'~'10 S. Riverside Plaza      14542'~'Chicago IL 60606 USA      14542'~~''~'Katsushika-ku'~~~'97'~~~
'19583'~'10 S. Riverside Plaza      14543'~'Chicago IL 60606 USA      14543'~~''~'Toronto'~'1108'~'M1S 5A2'~'72'~~~
'19584'~'10 S. Riverside Plaza      14544'~'Chicago IL 60606 USA      14544'~~''~'Moss Landing'~'5'~'09503'~'76'~~~
'19585'~'10 S. Riverside Plaza      14545'~'Chicago IL 60606 USA      14545'~~''~'chiba ichihara-shi'~~~'97'~~~
'19586'~'10 S. Riverside Plaza      14546'~'Chicago IL 60606 USA      14546'~~''~'Petaling Jaya'~'1810'~'46100'~'91'~~~
'19587'~'10 S. Riverside Plaza      14547'~'Chicago IL 60606 USA      14547'~~''~'Grantham'~'1635'~'NG31 8HZ'~'19'~~~
'19588'~'10 S. Riverside Plaza      14548'~'Chicago IL 60606 USA      14548'~''~''~'Phillaur'~'3137'~'144410'~'86'~~'C5FA4733-6F8B-44B6-94AA-0045511C03A6'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'19589'~'10 S. Riverside Plaza      14549'~'Chicago IL 60606 USA      14549'~''~''~'Bangalore'~'3127'~'562102'~'86'~~'4487FBE2-ACAB-4CA7-AECC-DC320D7DA7C5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'19590'~'10 S. Riverside Plaza      14550'~'Chicago IL 60606 USA      14550'~~''~'Broadview'~'15'~'60155'~'76'~~~
'19591'~'10 S. Riverside Plaza      14551'~'Chicago IL 60606 USA      14551'~~''~'Santa Amalia'~'1364'~'6410'~'31'~~~
'19592'~'10 S. Riverside Plaza      14552'~'Chicago IL 60606 USA      14552'~~''~'Bursa'~'2325'~~'115'~~~
'19593'~'10 S. Riverside Plaza      14553'~'Chicago IL 60606 USA      14553'~~''~'Nagoya'~'567'~'452-0846'~'97'~~~
'19594'~'10 S. Riverside Plaza      14554'~'Chicago IL 60606 USA      14554'~~''~'Guangzhou'~'1161'~~'84'~~~
'19595'~'10 S. Riverside Plaza      14555'~'Chicago IL 60606 USA      14555'~~''~'Chichester'~~'PO20 1NW'~'19'~~~
'19596'~'10 S. Riverside Plaza      14556'~'Chicago IL 60606 USA      14556'~~''~'Portsmouth'~'1606'~'PO3 5RW'~'19'~~~
'19597'~'10 S. Riverside Plaza      14557'~'Chicago IL 60606 USA      14557'~~''~'Selsey'~'1737'~'PO20 9HP'~'19'~~~
'19598'~'10 S. Riverside Plaza      14558'~'Chicago IL 60606 USA      14558'~~''~'Chichester'~'1737'~'PO20 9HP'~'19'~~~
'19599'~'10 S. Riverside Plaza      14559'~'Chicago IL 60606 USA      14559'~~''~'Linz'~~'4020'~'33'~~~
'19600'~'10 S. Riverside Plaza      14560'~'Chicago IL 60606 USA      14560'~~''~'TBF'~~~'24'~~~
'19601'~'10 S. Riverside Plaza      14561'~'Chicago IL 60606 USA      14561'~~''~'Tianjin'~~~'84'~~~
'19602'~'10 S. Riverside Plaza      14562'~'Chicago IL 60606 USA      14562'~~''~'Mulgrave'~'836'~'3170'~'118'~~~
'19603'~'10 S. Riverside Plaza      14563'~'Chicago IL 60606 USA      14563'~~''~'Timisoara'~~'300524'~'10'~~~
'19604'~'10 S. Riverside Plaza      14564'~'Chicago IL 60606 USA      14564'~~''~'Shanghai'~~~'84'~~~
'19605'~'10 S. Riverside Plaza      14565'~'Chicago IL 60606 USA      14565'~~''~'Zhu Hai'~'1161'~~'84'~~~
'19606'~'10 S. Riverside Plaza      14566'~'Chicago IL 60606 USA      14566'~~''~'Wetherill Park'~~~'118'~~~
'19607'~'10 S. Riverside Plaza      14567'~'Chicago IL 60606 USA      14567'~~''~'Corte Madera'~'5'~'94925'~'76'~~~
'19608'~'10 S. Riverside Plaza      14568'~'Chicago IL 60606 USA      14568'~~''~'Metuchen'~'32'~'08840'~'76'~~~
'19609'~'10 S. Riverside Plaza      14569'~'Chicago IL 60606 USA      14569'~~''~'Phoenix'~'4'~'85043'~'76'~~~
'19610'~'10 S. Riverside Plaza      14570'~'Chicago IL 60606 USA      14570'~~''~'West Chicago'~'15'~'60185'~'76'~~~
'19611'~'10 S. Riverside Plaza      14571'~'Chicago IL 60606 USA      14571'~~''~'Chicago'~'15'~'60639'~'76'~~~
'19612'~'10 S. Riverside Plaza      14572'~'Chicago IL 60606 USA      14572'~~''~'MODESTO'~'5'~'95357'~'76'~~~
'19613'~'10 S. Riverside Plaza      14573'~'Chicago IL 60606 USA      14573'~~''~'SPRINGDALE'~'3'~'72764'~'76'~~~
'19614'~'10 S. Riverside Plaza      14574'~'Chicago IL 60606 USA      14574'~~''~'Hagi-shi'~~~'97'~~~
'19615'~'10 S. Riverside Plaza      14575'~'Chicago IL 60606 USA      14575'~~''~'Ningbo'~'1180'~'315830'~'84'~~~
'19616'~'10 S. Riverside Plaza      14576'~'Chicago IL 60606 USA      14576'~~''~'Haibara-gun'~~~'97'~~~
'19617'~'10 S. Riverside Plaza      14577'~'Chicago IL 60606 USA      14577'~~''~'Kakogawa-shi'~~~'97'~~~
'19618'~'10 S. Riverside Plaza      14578'~'Chicago IL 60606 USA      14578'~~''~'Tikusei-shi'~~~'97'~~~
'19619'~'10 S. Riverside Plaza      14579'~'Chicago IL 60606 USA      14579'~~''~'Isahaya-shi'~~~'97'~~~
'19620'~'10 S. Riverside Plaza      14580'~'Chicago IL 60606 USA      14580'~~''~'Anjo-shi'~~~'97'~~~
'19621'~'10 S. Riverside Plaza      14581'~'Chicago IL 60606 USA      14581'~~''~'Nakatsu-shi'~~~'97'~~~
'19622'~'10 S. Riverside Plaza      14582'~'Chicago IL 60606 USA      14582'~~''~'Inukami-Gun'~~~'97'~~~
'19623'~'10 S. Riverside Plaza      14583'~'Chicago IL 60606 USA      14583'~~''~'Aayase-shi'~~~'97'~~~
'19624'~'10 S. Riverside Plaza      14584'~'Chicago IL 60606 USA      14584'~~''~'Minami Alps-shi'~~~'97'~~~
'19625'~'10 S. Riverside Plaza      14585'~'Chicago IL 60606 USA      14585'~~''~'Hirakata-shi'~~~'97'~~~
'19626'~'10 S. Riverside Plaza      14586'~'Chicago IL 60606 USA      14586'~~''~'Shibata-shi'~~~'97'~~~
'19627'~'10 S. Riverside Plaza      14587'~'Chicago IL 60606 USA      14587'~~''~'Kurume-shi'~~~'97'~~~
'19628'~'10 S. Riverside Plaza      14588'~'Chicago IL 60606 USA      14588'~~''~'Shizuoka'~~'417-0001'~'97'~~~
'19629'~'10 S. Riverside Plaza      14589'~'Chicago IL 60606 USA      14589'~~''~'North Scarle'~'1635'~'LN6 9HA'~'19'~~~
'19630'~'10 S. Riverside Plaza      14590'~'Chicago IL 60606 USA      14590'~~''~'Gympie'~~~'118'~~~
'19631'~'10 S. Riverside Plaza      14591'~'Chicago IL 60606 USA      14591'~~''~'Canning Vale'~~'6155'~'118'~~~
'19632'~'10 S. Riverside Plaza      14592'~'Chicago IL 60606 USA      14592'~~''~'Areia Barnca'~'1077'~'59.655-000'~'44'~~~
'19633'~'10 S. Riverside Plaza      14593'~'Chicago IL 60606 USA      14593'~~''~'Rakkestad'~~'1890'~'17'~~~
'19634'~'10 S. Riverside Plaza      14594'~'Chicago IL 60606 USA      14594'~~''~'Sarpsborg'~~'1722'~'17'~~~
'19635'~'10 S. Riverside Plaza      14595'~'Chicago IL 60606 USA      14595'~~''~'São Paulo'~'1082'~'05093-050'~'44'~~~
'19636'~'10 S. Riverside Plaza      14596'~'Chicago IL 60606 USA      14596'~~''~'Teodoro Sampaio'~'1082'~'19280-000'~'44'~~~
'19637'~'10 S. Riverside Plaza      14597'~'Chicago IL 60606 USA      14597'~~''~'Eastgardens'~~~'118'~~~
'19638'~'10 S. Riverside Plaza      14598'~'Chicago IL 60606 USA      14598'~~''~'São Paulo'~'1082'~'04550-001'~'44'~~~
'19639'~'10 S. Riverside Plaza      14599'~'Chicago IL 60606 USA      14599'~~''~'Faverolles'~~'80500'~'22'~~~
'19640'~'10 S. Riverside Plaza      14600'~'Chicago IL 60606 USA      14600'~~''~'Oakey'~~~'118'~~~
'19641'~'10 S. Riverside Plaza      14601'~'Chicago IL 60606 USA      14601'~~''~'Inazawa-shi'~'567'~'495-0001'~'97'~~~
'19642'~'10 S. Riverside Plaza      14602'~'Chicago IL 60606 USA      14602'~~''~'Nakagamigun'~~'903-0203'~'97'~~~
'19643'~'10 S. Riverside Plaza      14603'~'Chicago IL 60606 USA      14603'~~''~'Urasoe-shi'~~~'97'~~~
'19644'~'10 S. Riverside Plaza      14604'~'Chicago IL 60606 USA      14604'~~''~'Itoman-shi'~~~'97'~~~
'19645'~'10 S. Riverside Plaza      14605'~'Chicago IL 60606 USA      14605'~~''~'Scordia'~'474'~'95048'~'25'~~~
'19646'~'10 S. Riverside Plaza      14606'~'Chicago IL 60606 USA      14606'~~''~'Yawatahama'~'570'~~'97'~~~
'19647'~'10 S. Riverside Plaza      14607'~'Chicago IL 60606 USA      14607'~~''~'Cesena (FC)'~~'47522'~'25'~~~
'19648'~'10 S. Riverside Plaza      14608'~'Chicago IL 60606 USA      14608'~~''~'Toledo'~~'45007'~'31'~~~
'19649'~'10 S. Riverside Plaza      14609'~'Chicago IL 60606 USA      14609'~~''~'Rushan City'~'1175'~'264500'~'84'~~~
'19650'~'10 S. Riverside Plaza      14610'~'Chicago IL 60606 USA      14610'~~''~'Whangarei'~~~'122'~~~
'19651'~'10 S. Riverside Plaza      14611'~'Chicago IL 60606 USA      14611'~~''~'Rzgow'~~'95030'~'40'~~~
'19652'~'10 S. Riverside Plaza      14612'~'Chicago IL 60606 USA      14612'~~''~'CONDELL PARK'~~~'118'~~~
'19653'~'10 S. Riverside Plaza      14613'~'Chicago IL 60606 USA      14613'~~''~'GOODNA'~~~'118'~~~
'19654'~'10 S. Riverside Plaza      14614'~'Chicago IL 60606 USA      14614'~~''~'CHILIOMODI'~'420'~~'24'~~~
'19655'~'10 S. Riverside Plaza      14615'~'Chicago IL 60606 USA      14615'~~''~'Olot'~~'17800'~'31'~~~
'19656'~'10 S. Riverside Plaza      14616'~'Chicago IL 60606 USA      14616'~~''~'Minchinbury'~'832'~'2770'~'118'~~~
'19657'~'10 S. Riverside Plaza      14617'~'Chicago IL 60606 USA      14617'~~''~'Bedford Park'~'15'~'60638'~'76'~~~
'19658'~'10 S. Riverside Plaza      14618'~'Chicago IL 60606 USA      14618'~~''~'Bedford Park'~~'60638'~'76'~~~
'19659'~'10 S. Riverside Plaza      14619'~'Chicago IL 60606 USA      14619'~~''~'Beech Island'~'41'~'29831'~'76'~~~
'19660'~'10 S. Riverside Plaza      14620'~'Chicago IL 60606 USA      14620'~~''~'Bolingbrook'~'15'~'60440'~'76'~~~
'19661'~'10 S. Riverside Plaza      14621'~'Chicago IL 60606 USA      14621'~~''~'Columbus'~'36'~'43228'~'76'~~~
'19662'~'10 S. Riverside Plaza      14622'~'Chicago IL 60606 USA      14622'~~''~'Conyers'~'11'~'30012'~'76'~~~
'19663'~'10 S. Riverside Plaza      14623'~'Chicago IL 60606 USA      14623'~~''~'La Mirada'~'5'~'90638'~'76'~~~
'19664'~'10 S. Riverside Plaza      14624'~'Chicago IL 60606 USA      14624'~~''~'Bakersfield'~'5'~'93308'~'76'~~~
'19665'~'10 S. Riverside Plaza      14625'~'Chicago IL 60606 USA      14625'~~''~'Huntersville'~'28'~'28078'~'76'~~~
'19666'~'10 S. Riverside Plaza      14626'~'Chicago IL 60606 USA      14626'~~''~'Mooresville NC'~'28'~'28115'~'76'~~~
'19667'~'10 S. Riverside Plaza      14627'~'Chicago IL 60606 USA      14627'~~''~'Winchester'~'46'~'22603'~'76'~~~
'19668'~'10 S. Riverside Plaza      14628'~'Chicago IL 60606 USA      14628'~~''~'Temple'~'44'~~'76'~~~
'19669'~'10 S. Riverside Plaza      14629'~'Chicago IL 60606 USA      14629'~~''~'Downingtown'~~'19335'~'76'~~~
'19670'~'10 S. Riverside Plaza      14630'~'Chicago IL 60606 USA      14630'~~''~'Stockton'~~'95206'~'76'~~~
'19671'~'10 S. Riverside Plaza      14631'~'Chicago IL 60606 USA      14631'~~''~'Kinston'~~'28504'~'76'~~~
'19672'~'10 S. Riverside Plaza      14632'~'Chicago IL 60606 USA      14632'~~''~'Brampton'~~'L6W 3M1'~'72'~~~
'19673'~'10 S. Riverside Plaza      14633'~'Chicago IL 60606 USA      14633'~~''~'Fatehgarh Sahib (Punjab)'~'3137'~'140406'~'86'~~~
'19674'~'10 S. Riverside Plaza      14634'~'Chicago IL 60606 USA      14634'~~''~'Panamá'~~~'66'~~~
'19675'~'10 S. Riverside Plaza      14635'~'Chicago IL 60606 USA      14635'~~''~'São Paulo'~'1082'~'01520-010'~'44'~~~
'19676'~'10 S. Riverside Plaza      14636'~'Chicago IL 60606 USA      14636'~~''~'Monterrey'~~~'65'~~~
'19677'~'10 S. Riverside Plaza      14637'~'Chicago IL 60606 USA      14637'~~''~'Montevideo'~'2467'~'12400'~'71'~~~
'19678'~'10 S. Riverside Plaza      14638'~'Chicago IL 60606 USA      14638'~~''~'Callao'~~~'70'~~~
'19679'~'10 S. Riverside Plaza      14639'~'Chicago IL 60606 USA      14639'~~''~'São Paulo'~'1082'~'03133-200'~'44'~~~
'19680'~'10 S. Riverside Plaza      14640'~'Chicago IL 60606 USA      14640'~~''~'Ramos Mejia - Buenos Aires'~~~'67'~~~
'19681'~'10 S. Riverside Plaza      14641'~'Chicago IL 60606 USA      14641'~~''~'Rio Cuarto'~~~'67'~~~
'19682'~'10 S. Riverside Plaza      14642'~'Chicago IL 60606 USA      14642'~~''~'Johannesburg'~~~'146'~~~
'19683'~'10 S. Riverside Plaza      14643'~'Chicago IL 60606 USA      14643'~~''~'Pasig'~'1950'~'2600'~'92'~~~
'19684'~'10 S. Riverside Plaza      14644'~'Chicago IL 60606 USA      14644'~~''~'Roda de Bara'~'1394'~'43883'~'31'~~~
'19685'~'10 S. Riverside Plaza      14645'~'Chicago IL 60606 USA      14645'~~''~'Argenton-sur-Creuse'~~'36200'~'22'~~~
'19686'~'10 S. Riverside Plaza      14646'~'Chicago IL 60606 USA      14646'~~''~'Les Cerqueux'~~'49360'~'22'~~~
'19687'~'10 S. Riverside Plaza      14647'~'Chicago IL 60606 USA      14647'~~''~'Vron'~~'80120'~'22'~~~
'19688'~'10 S. Riverside Plaza      14648'~'Chicago IL 60606 USA      14648'~~''~'Severnity Micro District'~~'142001'~'11'~~~
'19689'~'10 S. Riverside Plaza      14649'~'Chicago IL 60606 USA      14649'~~''~'Peterborough'~'1108'~'K9J 7B2'~'72'~~~
'19690'~'10 S. Riverside Plaza      14650'~'Chicago IL 60606 USA      14650'~~''~'Trenton'~'1108'~'K8V 5R1'~'72'~~~
'19691'~'10 S. Riverside Plaza      14651'~'Chicago IL 60606 USA      14651'~~''~'San Antonio La Isla'~~~'65'~~~
'19692'~'10 S. Riverside Plaza      14652'~'Chicago IL 60606 USA      14652'~~''~'Distrito Federal'~~~'65'~~~
'19693'~'10 S. Riverside Plaza      14653'~'Chicago IL 60606 USA      14653'~~''~'Petrolina'~'1074'~'56314-520'~'44'~~~
'19694'~'10 S. Riverside Plaza      14654'~'Chicago IL 60606 USA      14654'~~''~'Scorzé Province'~'548'~'30037'~'25'~~~
'19695'~'10 S. Riverside Plaza      14655'~'Chicago IL 60606 USA      14655'~~''~'Moscow oblast'~~'141580'~'11'~~~
'19696'~'10 S. Riverside Plaza      14656'~'Chicago IL 60606 USA      14656'~~''~'Lebediansky'~'2124'~'399610'~'11'~~~
'19697'~'10 S. Riverside Plaza      14657'~'Chicago IL 60606 USA      14657'~~''~'Prague'~~~'36'~~~
'19698'~'10 S. Riverside Plaza      14658'~'Chicago IL 60606 USA      14658'~~''~'Bundaberg'~~~'118'~~~
'19699'~'10 S. Riverside Plaza      14659'~'Chicago IL 60606 USA      14659'~~''~'Gatton'~~~'118'~~~
'19700'~'10 S. Riverside Plaza      14660'~'Chicago IL 60606 USA      14660'~~''~'West Melbourne'~~~'118'~~~
'19701'~'10 S. Riverside Plaza      14661'~'Chicago IL 60606 USA      14661'~~''~'Rocklea'~'833'~'4106'~'118'~~~
'19702'~'10 S. Riverside Plaza      14662'~'Chicago IL 60606 USA      14662'~~''~'Cheltenham.'~~~'118'~~~
'19703'~'10 S. Riverside Plaza      14663'~'Chicago IL 60606 USA      14663'~~''~'Baku'~'843'~'AZ 0100'~'1'~~~
'19704'~'10 S. Riverside Plaza      14664'~'Chicago IL 60606 USA      14664'~~''~'Suzhou'~'1169'~~'84'~~~
'19705'~'10 S. Riverside Plaza      14665'~'Chicago IL 60606 USA      14665'~~''~'Aradippou'~~'7101'~'100'~~~
'19706'~'10 S. Riverside Plaza      14666'~'Chicago IL 60606 USA      14666'~~''~'Carol Stream'~'15'~'60188'~'76'~~~
'19707'~'10 S. Riverside Plaza      14667'~'Chicago IL 60606 USA      14667'~~''~'Morelia'~~~'65'~~~
'19708'~'10 S. Riverside Plaza      14668'~'Chicago IL 60606 USA      14668'~~''~'Atzala, Puebla México'~~~'65'~~~
'19709'~'10 S. Riverside Plaza      14669'~'Chicago IL 60606 USA      14669'~~''~'Pudong'~'1156'~'201201'~'84'~~~
'19710'~'10 S. Riverside Plaza      14670'~'Chicago IL 60606 USA      14670'~''~''~'Noida'~'3144'~'201301'~'86'~~'E18E45AA-8DA8-4F07-A477-6515DDEBFF05'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'19711'~'10 S. Riverside Plaza      14671'~'Chicago IL 60606 USA      14671'~~''~'Bogota'~~~'62'~~~
'19712'~'10 S. Riverside Plaza      14672'~'Chicago IL 60606 USA      14672'~~''~'BUGA'~~~'62'~~~
